30 30 420
B 0 7 4
W 0 13 4
M 0 17 4
G 0 22 4
G 0 23 4
M 0 28 4
M 0 29 4
B 1 10 4
O 1 18 4
Z 1 19 4
W 1 22 4
J 1 26 2
L 1 29 4
G 2 17 4
J 2 27 4
B 3 7 4
G 3 11 4
G 3 22 4
M 3 25 4
J 3 29 4
G 4 12 4
J 4 15 4
L 4 18 4
G 4 22 3
G 4 23 4
J 4 24 4
M 4 26 4
O 5 7 4
Z 5 10 4
A 5 14 4
B 6 0 4
M 6 8 4
Z 6 17 4
M 6 19 2
A 6 25 4
L 6 28 4
O 7 6 1
O 7 7 4
G 7 8 4
M 7 9 4
M 7 19 2
M 7 20 4
W 8 1 4
O 8 2 3
G 8 7 1
W 8 13 4
O 8 16 4
B 8 24 4
O 9 2 3
O 9 5 4
G 9 6 1
O 9 7 4
G 9 8 4
A 9 15 4
B 9 29 4
J 10 5 4
G 10 7 2
A 10 8 4
A 10 14 3
J 10 24 2
M 10 26 4
G 10 27 3
J 11 0 4
J 11 2 4
M 11 3 1
A 11 5 4
B 11 20 4
J 11 25 4
G 11 28 4
M 12 2 3
M 12 3 3
M 12 4 1
B 12 17 4
L 12 26 4
Z 12 27 4
J 12 28 2
M 13 2 1
M 13 3 1
M 13 4 4
B 13 8 4
L 13 19 4
J 13 28 1
J 13 29 4
J 14 2 1
L 14 3 4
M 14 4 1
M 14 5 4
J 14 22 4
W 14 25 4
J 15 3 4
M 15 4 3
M 15 5 3
M 15 6 4
A 15 13 4
O 15 20 4
W 15 24 4
B 15 27 4
M 16 4 1
M 16 5 3
M 17 17 4
L 17 27 4
M 18 13 4
J 18 17 4
B 18 19 4
L 19 0 4
J 19 13 1
M 19 18 1
Z 19 22 4
M 19 24 2
Z 19 27 2
Z 20 0 3
O 20 1 4
Z 20 2 2
Z 20 4 4
J 20 14 4
M 20 19 4
W 20 25 4
Z 20 28 4
Z 21 2 4
Z 21 3 4
Z 21 5 4
B 21 10 4
Z 21 27 4
W 21 29 4
Z 22 4 4
Z 22 5 4
L 22 13 4
L 22 14 4
B 22 19 4
Z 22 27 3
B 23 1 4
W 23 5 2
L 23 16 4
G 23 26 4
W 24 6 4
W 24 9 4
M 24 11 1
L 24 20 4
O 24 26 4
M 25 12 3
J 25 14 4
J 25 16 3
A 25 21 4
J 25 24 4
J 26 1 4
M 26 3 4
M 26 12 1
M 26 13 3
J 26 17 4
M 26 23 4
H 26 26 4
M 27 2 1
B 27 5 4
B 27 9 4
M 27 12 1
M 27 13 2
M 27 14 4
G 27 18 2
M 28 3 4
G 28 12 4
G 28 19 4
B 28 24 4
J 28 26 1
G 29 6 4
A 29 21 4
G 29 22 4
J 29 27 4
